Date,Open,High,Low,Close,Adj Close,Volume,Quarter
6/3/2019,33.349998,33.830002,33.080002,33.700001,33.011356,11019400,Q3
6/4/2019,34.380001,35.77,34.299999,35.73,34.999874,12875700,Q3
6/5/2019,36.040001,36.139999,35.330002,35.84,35.107628,9605600,Q3
6/6/2019,35.09,35.439999,34.459999,35.189999,34.840309,9749200,Q3
6/7/2019,35.310001,35.549999,35.150002,35.490002,35.137329,6561000,Q3
6/10/2019,36.130001,36.509998,35.889999,36.009998,35.652161,8498000,Q3
6/11/2019,36.360001,36.580002,36.099998,36.200001,35.840275,4652000,Q3
6/12/2019,36.259998,36.259998,35.560001,35.669998,35.315536,5509500,Q3
6/13/2019,35.630001,36.049999,35.41,36.02,35.66206,3917300,Q3
6/14/2019,35.880001,35.990002,35.540001,35.66,35.305637,4953400,Q3
6/17/2019,35.560001,36.18,35.360001,36.139999,35.780869,5454900,Q3
6/18/2019,36.380001,36.779999,36.139999,36.700001,36.335304,8226900,Q3
6/19/2019,37,37.470001,36.75,36.779999,36.414509,10884800,Q3
6/20/2019,37.150002,37.310001,36.490002,36.959999,36.59272,8639700,Q3
6/21/2019,36.959999,37.099998,36.650002,36.919998,36.553116,13004600,Q3
6/24/2019,36.830002,37.119999,36.580002,36.959999,36.59272,7449000,Q3
6/25/2019,37.060001,37.880001,36.740002,37.68,37.305565,12930500,Q3
6/26/2019,37.82,38.5,37.709999,38.130001,37.751095,11911400,Q3
6/27/2019,38.599998,38.990002,38.16,38.32,37.939205,8106600,Q3
6/28/2019,38.330002,38.919998,38.330002,38.529999,38.147118,11480900,Q3
7/1/2019,38.93,38.990002,38.43,38.75,38.364933,10218000,Q3
7/2/2019,38.73,38.75,38.150002,38.34,37.959007,6679300,Q3
7/3/2019,38.5,38.689999,37.990002,38.16,37.780796,4409400,Q3
7/5/2019,38,38.52,37.740002,38.5,38.117416,4851900,Q3
7/8/2019,38.41,38.639999,38.119999,38.23,37.850098,5787300,Q3
7/9/2019,37.970001,38.169998,37.580002,38.080002,37.701591,6204700,Q3
7/10/2019,38.349998,38.470001,37.869999,38.099998,37.72139,5153100,Q3
7/11/2019,38.279999,38.580002,38.099998,38.43,38.048111,4598400,Q3
7/12/2019,38.599998,39.41,38.52,39.209999,38.820362,7164700,Q3
7/15/2019,39.209999,39.360001,38.889999,39.360001,38.968872,5448800,Q3
7/16/2019,38.990002,39.700001,38.650002,39.43,39.038174,8584800,Q3
7/17/2019,39.41,39.459999,38.82,39.16,38.770859,5727300,Q3
